17.87,20,97419,65,87,545,Tod,THS Music Outside,24/01/2025 15:49,1
15.94,22,97433,60,88,513,Tod,THS Music Outside,24/01/2025 15:49,2
14.39,25,97417,50,90,455,Tod,THS Music Outside,24/01/2025 15:49,3
14.91,37,97415,10,98,281,Tod,THS Music Inside,24/01/2025 15:50,1
15.88,46,97438,15,97,344,Tod,THS Music Inside,24/01/2025 15:50,2
16.3,48,97442,20,96,381,Tod,THS Music Inside,24/01/2025 15:50,3
18.86,30,97452,35,93,380,Tod,THS Science Inside,24/01/2025 15:52,1
18.59,31,97448,30,94,358,Tod,THS Science Inside,24/01/2025 15:52,2
18.34,33,97444,25,95,337,Tod,THS Science Inside,24/01/2025 15:52,3
19.36,38,97433,10,98,281,Tod,THS Art Inside,24/01/2025 15:53,1
19.5,39,97437,5,99,265,Tod,THS Art Inside,24/01/2025 15:53,2
19.21,45,97415,15,97,336,Tod,THS Art Inside,24/01/2025 15:53,3
20.21,40,97433,0,100,250,Tod,THS Inside New Block Up,24/01/2025 16:03,1
20.6,42,97423,5,99,278,Tod,THS Inside New Block Up,24/01/2025 16:03,2
21.22,43,97415,10,98,303,Tod,THS Inside New Block Up,24/01/2025 16:03,3
24.15,33,97478,25,95,337,Tod,THS Inside New Block Down,24/01/2025 16:06,1
24.61,29,97493,35,93,380,Tod,THS Inside New Block Down,24/01/2025 16:06,2
24.51,27,97476,45,91,429,Tod,THS Inside New Block Down,24/01/2025 16:06,3
18.99,25,97497,50,90,455,Tod,THS Gym Yard Outside,24/01/2025 16:07,1
16.74,24,97525,50,90,455,Tod,THS Gym Yard Outside,24/01/2025 16:07,2
15.09,25,97527,50,90,455,Tod,THS Gym Yard Outside,24/01/2025 16:08,3
18.08,28,97521,40,92,404,Tod,THS P Corridor Inside,24/01/2025 16:09,1
17.49,31,97527,30,94,358,Tod,THS P Corridor Inside,24/01/2025 16:09,2
17,32,97517,25,95,337,Tod,THS P Corridor Inside,24/01/2025 16:09,3
18.71,35,97489,20,96,317,Tod,THS Reception Inside,24/01/2025 16:10,1
18.65,36,97503,15,97,299,Tod,THS Reception Inside,24/01/2025 16:11,2
19.49,38,97501,10,98,281,Tod,THS Reception Inside,24/01/2025 16:11,3
